,# features,vectorization time [s],train accuracy [%],test accuracy [%],training time [s],vectorization,tokenizer,stop_words,ngram range,max features,z-score,columns,sparse,model,activation,C,widths,# epochs,learning rate,batch size
132,1000,0.93,52.3331,52.1604,5.71,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,1.0,,10,0.01,100
133,1000,0.93,52.3331,52.1604,5.67,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,10.0,,10,0.01,100
134,1000,0.93,52.3331,52.1604,5.75,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,50.0,,10,0.01,100
135,1000,0.93,52.3331,52.1604,0.34,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,1.0,,10,0.01,35918
136,1000,0.93,52.3331,52.1604,0.35,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,10.0,,10,0.01,35918
137,1000,0.93,52.3331,52.1604,0.36,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,50.0,,10,0.01,35918
138,1000,0.93,52.3331,52.1604,56.23,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,1.0,,100,0.01,100
139,1000,0.93,52.3331,52.1604,60.45,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,10.0,,100,0.01,100
140,1000,0.93,52.3331,52.1604,56.7,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,50.0,,100,0.01,100
141,1000,0.93,52.3331,52.1604,2.81,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,1.0,,100,0.01,35918
142,1000,0.93,52.3331,52.1604,3.08,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,10.0,,100,0.01,35918
143,1000,0.93,52.3331,52.1604,2.84,tf-idf,None,,"(1, 1)",1000.0,False,['title'],True,LinearSVM,,50.0,,100,0.01,35918
144,19616,0.94,52.3331,52.1604,0.78,tf-idf,None,,"(1, 1)",,False,['title'],True,LogisticRegression,,,,1,0.01,100
145,19616,0.94,52.3331,52.1604,0.01,tf-idf,None,,"(1, 1)",,False,['title'],True,LogisticRegression,,,,1,0.01,35918
146,19616,0.94,53.7669,53.5301,8.07,tf-idf,None,,"(1, 1)",,False,['title'],True,LogisticRegression,,,,10,0.01,100
147,19616,0.94,52.3331,52.1604,0.2,tf-idf,None,,"(1, 1)",,False,['title'],True,LogisticRegression,,,,10,0.01,35918
148,19616,0.94,91.9066,91.6815,77.78,tf-idf,None,,"(1, 1)",,False,['title'],True,LogisticRegression,,,,100,0.01,100
149,19616,0.94,52.3331,52.1604,1.25,tf-idf,None,,"(1, 1)",,False,['title'],True,LogisticRegression,,,,100,0.01,35918
150,19616,0.94,52.3331,52.1604,1.2,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,1.0,,1,0.01,100
151,19616,0.94,52.3331,52.1604,1.27,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,10.0,,1,0.01,100
152,19616,0.94,52.3331,52.1604,1.19,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,50.0,,1,0.01,100
153,19616,0.94,52.3331,52.1604,0.05,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,1.0,,1,0.01,35918
154,19616,0.94,52.3331,52.1604,0.06,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,10.0,,1,0.01,35918
155,19616,0.94,52.3331,52.1604,0.06,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,50.0,,1,0.01,35918
156,19616,0.94,52.3331,52.1604,10.53,tf-idf,None,,"(1, 1)",,False,['title'],True,LinearSVM,,1.0,,10,0.01,100
